,dealer,msrp_total,msrp_base,model_title,color,VIN
0,04308,36987.0,36987.0,RAV4 Limited FWD 2.5L 4-Cyl.,Magnetic Gray Metallic,2T3Y1RFVXMW169791
0,04508,40647.0,40647.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Blizzard Pearl / Midnight Black Metallic roof [extra_cost_color],4T3E6RFVXMU053785
0,04636,40231.0,40231.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic/Midnight Black Metallic roof,4T3E6RFV0MU052497
0,04636,40447.0,40447.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Blizzard Pearl / Midnight Black Metallic roof [extra_cost_color],4T3E6RFV4MU054575
0,04315,28268.0,28268.0,RAV4 LE FWD 2.5L 4-Cyl.,Magnetic Gray Metallic,2T3H1RFVXMC159926
0,04315,28467.0,28467.0,RAV4 LE FWD 2.5L 4-Cyl.,Super White,2T3H1RFV7MC159432
0,04315,32633.0,32633.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Midnight Black Metallic,4T3RWRFV8MU032399
0,04315,35517.0,35517.0,RAV4 XLE Premium FWD 2.5L 4-Cyl.,Blizzard Pearl [extra_cost_color],2T3C1RFV5MW168168
0,04315,40290.0,40290.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic/Midnight Black Metallic roof,4T3E6RFV4MU051868
0,04748,40288.0,40288.0,RAV4 Limited TV-AWD 2.5L 4-Cyl.,Silver Sky Metallic,2T3N1RFV9MC231413
0,04136,31579.0,31579.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Super White,4T3RWRFV6MU032269
0,04136,32458.0,32458.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Silver Sky Metallic,4T3RWRFV1MU033023
0,04136,34648.0,34648.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Super White,4T3RWRFV1MU032213
0,04136,34748.0,34748.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Silver Sky Metallic,JTMRWRFV3MD124100
0,04136,36172.0,36172.0,RAV4 XLE Premium Hybrid AWD,Blueprint,4T3B6RFV5MU055110
0,04136,36172.0,36172.0,RAV4 XLE Premium Hybrid AWD,Midnight Black Metallic,4T3B6RFV5MU055009
0,04136,40242.0,40242.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic/Midnight Black Metallic roof,JTME6RFVXMD515338
0,04136,40251.0,40251.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic/Midnight Black Metallic roof,4T3E6RFV2MU055031
0,04154,40290.0,40290.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic/Midnight Black Metallic roof,4T3E6RFV3MU052462
0,04094,37076.0,37076.0,RAV4 Limited FWD 2.5L 4-Cyl.,Magnetic Gray Metallic,2T3Y1RFV9MC158024
0,04094,37915.0,37915.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Blizzard Pearl / Midnight Black Metallic roof [extra_cost_color],4T3E6RFV0MU044867
